Anno;Causa di morte;Classe eta;Numero decessi
2002;Bronchite, enfisema ed asma;da 60 a 69 anni;2
2002;Bronchite, enfisema ed asma;da 70 a 74 anni;7
2002;Bronchite, enfisema ed asma;da 75 a 79 anni;10
2002;Bronchite, enfisema ed asma;da 80 a 84 anni;7
2002;Cardiopatia ischemica;85 anni e oltre;178
2002;Cardiopatia ischemica;da 0 a 19 anni;0
2002;Cardiopatia ischemica;da 20 a 34 anni;0
2002;Cardiopatia ischemica;da 35 a 49 anni;2
2002;Cardiopatia ischemica;da 50 a 59 anni;4
2002;Cardiopatia ischemica;da 60 a 69 anni;9
2002;Cardiopatia ischemica;da 70 a 74 anni;14
2002;Cardiopatia ischemica;da 75 a 79 anni;44
2002;Cardiopatia ischemica;da 80 a 84 anni;48
2002;Cirrosi epatica;85 anni e oltre;5
2002;Cirrosi epatica;da 0 a 19 anni;0
2002;Cirrosi epatica;da 20 a 34 anni;2
2002;Cirrosi epatica;da 35 a 49 anni;0
2002;Cirrosi epatica;da 50 a 59 anni;0
2002;Cirrosi epatica;da 60 a 69 anni;4
2002;Cirrosi epatica;da 70 a 74 anni;6
2002;Cirrosi epatica;da 75 a 79 anni;5
2002;Cirrosi epatica;da 80 a 84 anni;4
2002;Compl. della gravidanza, parto e puerperio;85 anni e oltre;0
2002;Compl. della gravidanza, parto e puerperio;da 0 a 19 anni;0
2002;Compl. della gravidanza, parto e puerperio;da 20 a 34 anni;0
2002;Compl. della gravidanza, parto e puerperio;da 35 a 49 anni;0
2002;Compl. della gravidanza, parto e puerperio;da 50 a 59 anni;0
2002;Compl. della gravidanza, parto e puerperio;da 60 a 69 anni;0
2002;Compl. della gravidanza, parto e puerperio;da 70 a 74 anni;0
2002;Compl. della gravidanza, parto e puerperio;da 75 a 79 anni;0
2002;Compl. della gravidanza, parto e puerperio;da 80 a 84 anni;0
2002;Condizioni morbose di origine perinatale;85 anni e oltre;0
2002;Condizioni morbose di origine perinatale;da 0 a 19 anni;1
2002;Condizioni morbose di origine perinatale;da 20 a 34 anni;0
2002;Condizioni morbose di origine perinatale;da 35 a 49 anni;0
2002;Condizioni morbose di origine perinatale;da 50 a 59 anni;0
2002;Condizioni morbose di origine perinatale;da 60 a 69 anni;0
2002;Condizioni morbose di origine perinatale;da 70 a 74 anni;0
2002;Condizioni morbose di origine perinatale;da 75 a 79 anni;0
2002;Condizioni morbose di origine perinatale;da 80 a 84 anni;0
2002;diabete;85 anni e oltre;29
2002;diabete;da 0 a 19 anni;0
2002;diabete;da 20 a 34 anni;0
2002;diabete;da 35 a 49 anni;1
2002;diabete;da 50 a 59 anni;1
2002;diabete;da 60 a 69 anni;1
2002;diabete;da 70 a 74 anni;3
2002;diabete;da 75 a 79 anni;8
2002;diabete;da 80 a 84 anni;16
2002;Disturbi psichici;85 anni e oltre;71
2002;Disturbi psichici;da 0 a 19 anni;1
2002;Disturbi psichici;da 20 a 34 anni;0
2002;Disturbi psichici;da 35 a 49 anni;0
2002;Disturbi psichici;da 50 a 59 anni;3
2002;Disturbi psichici;da 60 a 69 anni;2
2002;Disturbi psichici;da 70 a 74 anni;1
2002;Disturbi psichici;da 75 a 79 anni;4
2002;Disturbi psichici;da 80 a 84 anni;14
2002;Incidenti stradali;85 anni e oltre;1
2002;Incidenti stradali;da 0 a 19 anni;0
2002;Incidenti stradali;da 20 a 34 anni;1
2002;Incidenti stradali;da 35 a 49 anni;3
2002;Incidenti stradali;da 50 a 59 anni;0
2002;Incidenti stradali;da 60 a 69 anni;0
2002;Incidenti stradali;da 70 a 74 anni;1
2002;Incidenti stradali;da 75 a 79 anni;0
2002;Incidenti stradali;da 80 a 84 anni;0
2002;Infarto del miocardio;85 anni e oltre;47
2002;Infarto del miocardio;da 0 a 19 anni;0
2002;Infarto del miocardio;da 20 a 34 anni;0
2002;Infarto del miocardio;da 35 a 49 anni;2
2002;Infarto del miocardio;da 50 a 59 anni;1
2002;Infarto del miocardio;da 60 a 69 anni;4
2002;Infarto del miocardio;da 70 a 74 anni;8
2002;Infarto del miocardio;da 75 a 79 anni;20
2002;Infarto del miocardio;da 80 a 84 anni;23
2002;Leucemie;85 anni e oltre;7
2002;Leucemie;da 0 a 19 anni;0
2002;Leucemie;da 20 a 34 anni;0
2002;Leucemie;da 35 a 49 anni;0
2002;Leucemie;da 50 a 59 anni;1
2002;Leucemie;da 60 a 69 anni;2
2002;Leucemie;da 70 a 74 anni;3
2002;Leucemie;da 75 a 79 anni;2
2002;Leucemie;da 80 a 84 anni;3
2002;Malattie cerebrovascolari;85 anni e oltre;201
2002;Malattie cerebrovascolari;da 0 a 19 anni;0
2002;Malattie cerebrovascolari;da 20 a 34 anni;0
2002;Malattie cerebrovascolari;da 35 a 49 anni;3
2002;Malattie cerebrovascolari;da 50 a 59 anni;2
2002;Malattie cerebrovascolari;da 60 a 69 anni;8
2002;Malattie cerebrovascolari;da 70 a 74 anni;15
2002;Malattie cerebrovascolari;da 75 a 79 anni;27
2002;Malattie cerebrovascolari;da 80 a 84 anni;37
2002;Malattie del sangue e degli organi ematopeici;85 anni e oltre;8
2002;Malattie del sangue e degli organi ematopeici;da 0 a 19 anni;0
2002;Malattie del sangue e degli organi ematopeici;da 20 a 34 anni;0
2002;Malattie del sangue e degli organi ematopeici;da 35 a 49 anni;1
2002;Malattie del sangue e degli organi ematopeici;da 50 a 59 anni;0
2002;Malattie del sangue e degli organi ematopeici;da 60 a 69 anni;0
2002;Malattie del sangue e degli organi ematopeici;da 70 a 74 anni;2
2002;Malattie del sangue e degli organi ematopeici;da 75 a 79 anni;3
2002;Malattie del sangue e degli organi ematopeici;da 80 a 84 anni;4
2002;Malattie del sistema nervoso;85 anni e oltre;37
2002;Malattie del sistema nervoso;da 0 a 19 anni;0
2002;Malattie del sistema nervoso;da 20 a 34 anni;0
2002;Malattie del sistema nervoso;da 35 a 49 anni;0
2002;Malattie del sistema nervoso;da 50 a 59 anni;3
2002;Malattie del sistema nervoso;da 60 a 69 anni;2
2002;Malattie del sistema nervoso;da 70 a 74 anni;6
2002;Malattie del sistema nervoso;da 75 a 79 anni;14
2002;Malattie del sistema nervoso;da 80 a 84 anni;21
2002;Malattie del sistema osteomuscolare e del connettivo;85 anni e oltre;9
2002;Malattie del sistema osteomuscolare e del connettivo;da 0 a 19 anni;0
2002;Malattie del sistema osteomuscolare e del connettivo;da 20 a 34 anni;0
2002;Malattie del sistema osteomuscolare e del connettivo;da 35 a 49 anni;0
2002;Malattie del sistema osteomuscolare e del connettivo;da 50 a 59 anni;1
2002;Malattie del sistema osteomuscolare e del connettivo;da 60 a 69 anni;2
2002;Malattie del sistema osteomuscolare e del connettivo;da 70 a 74 anni;3
2002;Malattie del sistema osteomuscolare e del connettivo;da 75 a 79 anni;4
2002;Malattie del sistema osteomuscolare e del connettivo;da 80 a 84 anni;5
2002;Malattie della pelle e del sottocutaneo;85 anni e oltre;2
2002;Malattie della pelle e del sottocutaneo;da 0 a 19 anni;0
2002;Malattie della pelle e del sottocutaneo;da 20 a 34 anni;0
2002;Malattie della pelle e del sottocutaneo;da 35 a 49 anni;0
2002;Malattie della pelle e del sottocutaneo;da 50 a 59 anni;0
2002;Malattie della pelle e del sottocutaneo;da 60 a 69 anni;0
2002;Malattie della pelle e del sottocutaneo;da 70 a 74 anni;0
2002;Malattie della pelle e del sottocutaneo;da 75 a 79 anni;1
2002;Malattie della pelle e del sottocutaneo;da 80 a 84 anni;0
2002;Malattie dell'apparato genitourinario;85 anni e oltre;17
2002;Malattie dell'apparato genitourinario;da 0 a 19 anni;0
2002;Malattie dell'apparato genitourinario;da 20 a 34 anni;0
2002;Malattie dell'apparato genitourinario;da 35 a 49 anni;0
2002;Malattie dell'apparato genitourinario;da 50 a 59 anni;0
2002;Malattie dell'apparato genitourinario;da 60 a 69 anni;2
2002;Malattie dell'apparato genitourinario;da 70 a 74 anni;2
2002;Malattie dell'apparato genitourinario;da 75 a 79 anni;4
2002;Malattie dell'apparato genitourinario;da 80 a 84 anni;8
2002;Malattie infettive e parassitarie;85 anni e oltre;0
2002;Malattie infettive e parassitarie;da 0 a 19 anni;0
2002;Malattie infettive e parassitarie;da 20 a 34 anni;0
2002;Malattie infettive e parassitarie;da 35 a 49 anni;0
2002;Malattie infettive e parassitarie;da 50 a 59 anni;0
2002;Malattie infettive e parassitarie;da 60 a 69 anni;0
2002;Malattie infettive e parassitarie;da 70 a 74 anni;0
2002;Malattie infettive e parassitarie;da 75 a 79 anni;0
2002;Malattie infettive e parassitarie;da 80 a 84 anni;0
2002;Malformazioni congenite;85 anni e oltre;0
2002;Malformazioni congenite;da 0 a 19 anni;2
2002;Malformazioni congenite;da 20 a 34 anni;1
2002;Malformazioni congenite;da 35 a 49 anni;0
2002;Malformazioni congenite;da 50 a 59 anni;0
2002;Malformazioni congenite;da 60 a 69 anni;0
2002;Malformazioni congenite;da 70 a 74 anni;0
2002;Malformazioni congenite;da 75 a 79 anni;0
2002;Malformazioni congenite;da 80 a 84 anni;1
2002;Non recuperata;85 anni e oltre;2
2002;Non recuperata;da 0 a 19 anni;0
2002;Non recuperata;da 20 a 34 anni;2
2002;Non recuperata;da 35 a 49 anni;0
2002;Non recuperata;da 50 a 59 anni;0
2002;Non recuperata;da 60 a 69 anni;1
2002;Non recuperata;da 70 a 74 anni;2
2002;Non recuperata;da 75 a 79 anni;2
2002;Non recuperata;da 80 a 84 anni;2
2002;Overdose;85 anni e oltre;0
2002;Overdose;da 0 a 19 anni;0
2002;Overdose;da 20 a 34 anni;0
2002;Overdose;da 35 a 49 anni;0
2002;Overdose;da 50 a 59 anni;0
2002;Overdose;da 60 a 69 anni;0
2002;Overdose;da 70 a 74 anni;0
2002;Overdose;da 75 a 79 anni;0
2002;Overdose;da 80 a 84 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;85 anni e oltre;18
2002;Sintomi, segni e stati morbosi mal definiti;da 0 a 19 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;da 20 a 34 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;da 35 a 49 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;da 50 a 59 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;da 60 a 69 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;da 70 a 74 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;da 75 a 79 anni;0
2002;Sintomi, segni e stati morbosi mal definiti;da 80 a 84 anni;1
2002;Suicidi;85 anni e oltre;0
2002;Suicidi;da 0 a 19 anni;0
2002;Suicidi;da 20 a 34 anni;2
2002;Suicidi;da 35 a 49 anni;1
2002;Suicidi;da 50 a 59 anni;0
2002;Suicidi;da 60 a 69 anni;0
2002;Suicidi;da 70 a 74 anni;2
2002;Suicidi;da 75 a 79 anni;0
2002;Suicidi;da 80 a 84 anni;0
2002;Traumatismi ed avvelenamenti;85 anni e oltre;49
2002;Traumatismi ed avvelenamenti;da 0 a 19 anni;0
2002;Traumatismi ed avvelenamenti;da 20 a 34 anni;1
2002;Traumatismi ed avvelenamenti;da 35 a 49 anni;1
2002;Traumatismi ed avvelenamenti;da 50 a 59 anni;0
2002;Traumatismi ed avvelenamenti;da 60 a 69 anni;1
2002;Traumatismi ed avvelenamenti;da 70 a 74 anni;4
2002;Traumatismi ed avvelenamenti;da 75 a 79 anni;7
2002;Traumatismi ed avvelenamenti;da 80 a 84 anni;16
2002;Tumori intestino;85 anni e oltre;33
2002;Tumori intestino;da 0 a 19 anni;0
2002;Tumori intestino;da 20 a 34 anni;0
2002;Tumori intestino;da 35 a 49 anni;2
2002;Tumori intestino;da 50 a 59 anni;10
2002;Tumori intestino;da 60 a 69 anni;16
2002;Tumori intestino;da 70 a 74 anni;6
2002;Tumori intestino;da 75 a 79 anni;24
2002;Tumori intestino;da 80 a 84 anni;10
2002;Tumori mammella;85 anni e oltre;20
2002;Tumori mammella;da 0 a 19 anni;0
2002;Tumori mammella;da 20 a 34 anni;0
2002;Tumori mammella;da 35 a 49 anni;8
2002;Tumori mammella;da 50 a 59 anni;16
2002;Tumori mammella;da 60 a 69 anni;20
2002;Tumori mammella;da 70 a 74 anni;13
2002;Tumori mammella;da 75 a 79 anni;13
2002;Tumori mammella;da 80 a 84 anni;12
2002;Tumori ovaio;85 anni e oltre;2
2002;Tumori ovaio;da 0 a 19 anni;0
2002;Tumori ovaio;da 20 a 34 anni;0
2002;Tumori ovaio;da 35 a 49 anni;0
2002;Tumori ovaio;da 50 a 59 anni;6
2002;Tumori ovaio;da 60 a 69 anni;1
2002;Tumori ovaio;da 70 a 74 anni;2
2002;Tumori ovaio;da 75 a 79 anni;3
2002;Tumori ovaio;da 80 a 84 anni;1
2002;Tumori polmone;85 anni e oltre;16
2002;Tumori polmone;da 0 a 19 anni;0
2002;Tumori polmone;da 20 a 34 anni;0
2002;Tumori polmone;da 35 a 49 anni;4
2002;Tumori polmone;da 50 a 59 anni;9
2002;Tumori polmone;da 60 a 69 anni;18
2002;Tumori polmone;da 70 a 74 anni;12
2002;Tumori polmone;da 75 a 79 anni;12
2002;Tumori polmone;da 80 a 84 anni;17
2002;Tumori stomaco;85 anni e oltre;21
2002;Tumori stomaco;da 0 a 19 anni;0
2002;Tumori stomaco;da 20 a 34 anni;0
2002;Tumori stomaco;da 35 a 49 anni;2
2002;Tumori stomaco;da 50 a 59 anni;2
2002;Tumori stomaco;da 60 a 69 anni;8
2002;Tumori stomaco;da 70 a 74 anni;10
2002;Tumori stomaco;da 75 a 79 anni;6
2002;Tumori stomaco;da 80 a 84 anni;6
2002;Tumori utero;85 anni e oltre;4
2002;Tumori utero;da 0 a 19 anni;0
2002;Tumori utero;da 20 a 34 anni;0
2002;Tumori utero;da 35 a 49 anni;1
2002;Tumori utero;da 50 a 59 anni;1
2002;Tumori utero;da 60 a 69 anni;11
2002;Tumori utero;da 70 a 74 anni;2
2002;Tumori utero;da 75 a 79 anni;2
2002;Tumori utero;da 80 a 84 anni;7
2002;Tumori vescica;85 anni e oltre;9
2002;Tumori vescica;da 0 a 19 anni;0
2002;Tumori vescica;da 20 a 34 anni;0
2002;Tumori vescica;da 35 a 49 anni;0
2002;Tumori vescica;da 50 a 59 anni;0
2002;Tumori vescica;da 60 a 69 anni;0
2002;Tumori vescica;da 70 a 74 anni;1
2002;Tumori vescica;da 75 a 79 anni;5
2002;Tumori vescica;da 80 a 84 anni;3
2003;Aids;85 anni e oltre;0
2003;Aids;da 0 a 19 anni;0
2003;Aids;da 20 a 34 anni;1
2003;Aids;da 35 a 49 anni;0
2003;Aids;da 50 a 59 anni;0
2003;Aids;da 60 a 69 anni;0
2003;Aids;da 70 a 74 anni;0
2003;Aids;da 75 a 79 anni;0
2003;Aids;da 80 a 84 anni;0
2003;altre malattie del sistema circolatorio;85 anni e oltre;262
2003;altre malattie del sistema circolatorio;da 0 a 19 anni;0
2003;altre malattie del sistema circolatorio;da 20 a 34 anni;1
2003;altre malattie del sistema circolatorio;da 35 a 49 anni;0
2003;altre malattie del sistema circolatorio;da 50 a 59 anni;5
2003;altre malattie del sistema circolatorio;da 60 a 69 anni;12
2003;altre malattie del sistema circolatorio;da 70 a 74 anni;10
2003;altre malattie del sistema circolatorio;da 75 a 79 anni;31
2003;altre malattie del sistema circolatorio;da 80 a 84 anni;61
2003;altre malattie dell'apparato digerente;85 anni e oltre;48
2003;altre malattie dell'apparato digerente;da 0 a 19 anni;0
2003;altre malattie dell'apparato digerente;da 20 a 34 anni;1
2003;altre malattie dell'apparato digerente;da 35 a 49 anni;0
2003;altre malattie dell'apparato digerente;da 50 a 59 anni;0
2003;altre malattie dell'apparato digerente;da 60 a 69 anni;2
2003;altre malattie dell'apparato digerente;da 70 a 74 anni;3
2003;altre malattie dell'apparato digerente;da 75 a 79 anni;13
2003;altre malattie dell'apparato digerente;da 80 a 84 anni;13
2003;altre malattie dell'apparato respiratorio;85 anni e oltre;99
2003;altre malattie dell'apparato respiratorio;da 0 a 19 anni;0
2003;altre malattie dell'apparato respiratorio;da 20 a 34 anni;0
2003;altre malattie dell'apparato respiratorio;da 35 a 49 anni;0
2003;altre malattie dell'apparato respiratorio;da 50 a 59 anni;2
2003;altre malattie dell'apparato respiratorio;da 60 a 69 anni;7
2003;altre malattie dell'apparato respiratorio;da 70 a 74 anni;7
2003;altre malattie dell'apparato respiratorio;da 75 a 79 anni;21
2003;altre malattie dell'apparato respiratorio;da 80 a 84 anni;29
2003;altre Malattie endocrine, del metabolismo e immunitarie;85 anni e oltre;17
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 0 a 19 anni;1
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 20 a 34 anni;0
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 35 a 49 anni;1
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 50 a 59 anni;1
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 60 a 69 anni;1
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 70 a 74 anni;2
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 75 a 79 anni;1
2003;altre Malattie endocrine, del metabolismo e immunitarie;da 80 a 84 anni;4
2003;altri Tumori;85 anni e oltre;65
2003;altri Tumori;da 0 a 19 anni;0
2003;altri Tumori;da 20 a 34 anni;1
2003;altri Tumori;da 35 a 49 anni;8
2003;altri Tumori;da 50 a 59 anni;17
2003;altri Tumori;da 60 a 69 anni;38
2003;altri Tumori;da 70 a 74 anni;34
2003;altri Tumori;da 75 a 79 anni;45
2003;altri Tumori;da 80 a 84 anni;48
2003;Bronchite, enfisema ed asma;85 anni e oltre;53
2003;Bronchite, enfisema ed asma;da 0 a 19 anni;0
2003;Bronchite, enfisema ed asma;da 20 a 34 anni;0
2003;Bronchite, enfisema ed asma;da 35 a 49 anni;0
2003;Bronchite, enfisema ed asma;da 50 a 59 anni;0
2003;Bronchite, enfisema ed asma;da 60 a 69 anni;2
2003;Bronchite, enfisema ed asma;da 70 a 74 anni;2
2003;Bronchite, enfisema ed asma;da 75 a 79 anni;16
2003;Bronchite, enfisema ed asma;da 80 a 84 anni;11
2003;Cardiopatia ischemica;85 anni e oltre;191
2003;Cardiopatia ischemica;da 0 a 19 anni;0
2003;Cardiopatia ischemica;da 20 a 34 anni;0
2003;Cardiopatia ischemica;da 35 a 49 anni;0
2003;Cardiopatia ischemica;da 50 a 59 anni;4
2003;Cardiopatia ischemica;da 60 a 69 anni;9
2003;Cardiopatia ischemica;da 70 a 74 anni;13
2003;Cardiopatia ischemica;da 75 a 79 anni;33
2003;Cardiopatia ischemica;da 80 a 84 anni;61
2003;Cirrosi epatica;85 anni e oltre;5
2003;Cirrosi epatica;da 0 a 19 anni;0
2003;Cirrosi epatica;da 20 a 34 anni;0
2003;Cirrosi epatica;da 35 a 49 anni;0
2003;Cirrosi epatica;da 50 a 59 anni;6
2003;Cirrosi epatica;da 60 a 69 anni;1
2003;Cirrosi epatica;da 70 a 74 anni;5
2003;Cirrosi epatica;da 75 a 79 anni;5
2003;Cirrosi epatica;da 80 a 84 anni;6
2003;Compl. della gravidanza, parto e puerperio;85 anni e oltre;
2003;Compl. della gravidanza, parto e puerperio;da 0 a 19 anni;
2003;Compl. della gravidanza, parto e puerperio;da 20 a 34 anni;
2003;Compl. della gravidanza, parto e puerperio;da 35 a 49 anni;
2003;Compl. della gravidanza, parto e puerperio;da 50 a 59 anni;
2003;Compl. della gravidanza, parto e puerperio;da 60 a 69 anni;
2003;Compl. della gravidanza, parto e puerperio;da 70 a 74 anni;
2003;Compl. della gravidanza, parto e puerperio;da 75 a 79 anni;
2003;Compl. della gravidanza, parto e puerperio;da 80 a 84 anni;
2003;Condizioni morbose di origine perinatale;85 anni e oltre;0
2003;Condizioni morbose di origine perinatale;da 0 a 19 anni;4
2003;Condizioni morbose di origine perinatale;da 20 a 34 anni;0
2003;Condizioni morbose di origine perinatale;da 35 a 49 anni;0
2003;Condizioni morbose di origine perinatale;da 50 a 59 anni;0
2003;Condizioni morbose di origine perinatale;da 60 a 69 anni;0
2003;Condizioni morbose di origine perinatale;da 70 a 74 anni;0
2003;Condizioni morbose di origine perinatale;da 75 a 79 anni;0
2003;Condizioni morbose di origine perinatale;da 80 a 84 anni;0
2003;diabete;85 anni e oltre;37
2003;diabete;da 0 a 19 anni;0
2003;diabete;da 20 a 34 anni;0
2003;diabete;da 35 a 49 anni;0
2003;diabete;da 50 a 59 anni;4
2003;diabete;da 60 a 69 anni;4
2003;diabete;da 70 a 74 anni;2
2003;diabete;da 75 a 79 anni;10
2003;diabete;da 80 a 84 anni;14
2003;Disturbi psichici;85 anni e oltre;63
2003;Disturbi psichici;da 0 a 19 anni;0
2003;Disturbi psichici;da 20 a 34 anni;0
2003;Disturbi psichici;da 35 a 49 anni;0
2003;Disturbi psichici;da 50 a 59 anni;1
2003;Disturbi psichici;da 60 a 69 anni;1
2003;Disturbi psichici;da 70 a 74 anni;3
2003;Disturbi psichici;da 75 a 79 anni;5
2003;Disturbi psichici;da 80 a 84 anni;15
2003;Incidenti stradali;85 anni e oltre;0
2003;Incidenti stradali;da 0 a 19 anni;0
2003;Incidenti stradali;da 20 a 34 anni;5
2003;Incidenti stradali;da 35 a 49 anni;2
2003;Incidenti stradali;da 50 a 59 anni;1
2003;Incidenti stradali;da 60 a 69 anni;1
2003;Incidenti stradali;da 70 a 74 anni;0
2003;Incidenti stradali;da 75 a 79 anni;2
2003;Incidenti stradali;da 80 a 84 anni;0
2003;Infarto del miocardio;85 anni e oltre;59
2003;Infarto del miocardio;da 0 a 19 anni;0
2003;Infarto del miocardio;da 20 a 34 anni;0
2003;Infarto del miocardio;da 35 a 49 anni;0
2003;Infarto del miocardio;da 50 a 59 anni;0
2003;Infarto del miocardio;da 60 a 69 anni;3
2003;Infarto del miocardio;da 70 a 74 anni;10
2003;Infarto del miocardio;da 75 a 79 anni;21
2003;Infarto del miocardio;da 80 a 84 anni;30
2003;Leucemie;85 anni e oltre;7
2003;Leucemie;da 0 a 19 anni;1
2003;Leucemie;da 20 a 34 anni;1
2003;Leucemie;da 35 a 49 anni;0
2003;Leucemie;da 50 a 59 anni;1
2003;Leucemie;da 60 a 69 anni;1
2003;Leucemie;da 70 a 74 anni;1
2003;Leucemie;da 75 a 79 anni;3
2003;Leucemie;da 80 a 84 anni;2
2003;Malattie cerebrovascolari;85 anni e oltre;211
2003;Malattie cerebrovascolari;da 0 a 19 anni;0
2003;Malattie cerebrovascolari;da 20 a 34 anni;0
2003;Malattie cerebrovascolari;da 35 a 49 anni;2
2003;Malattie cerebrovascolari;da 50 a 59 anni;4
2003;Malattie cerebrovascolari;da 60 a 69 anni;9
2003;Malattie cerebrovascolari;da 70 a 74 anni;9
2003;Malattie cerebrovascolari;da 75 a 79 anni;37
2003;Malattie cerebrovascolari;da 80 a 84 anni;61
2003;Malattie del sangue e degli organi ematopeici;85 anni e oltre;9
2003;Malattie del sangue e degli organi ematopeici;da 0 a 19 anni;0
2003;Malattie del sangue e degli organi ematopeici;da 20 a 34 anni;0
2003;Malattie del sangue e degli organi ematopeici;da 35 a 49 anni;1
2003;Malattie del sangue e degli organi ematopeici;da 50 a 59 anni;2
2003;Malattie del sangue e degli organi ematopeici;da 60 a 69 anni;0
2003;Malattie del sangue e degli organi ematopeici;da 70 a 74 anni;0
2003;Malattie del sangue e degli organi ematopeici;da 75 a 79 anni;0
2003;Malattie del sangue e degli organi ematopeici;da 80 a 84 anni;0
2003;Malattie del sistema nervoso;85 anni e oltre;53
2003;Malattie del sistema nervoso;da 0 a 19 anni;1
2003;Malattie del sistema nervoso;da 20 a 34 anni;1
2003;Malattie del sistema nervoso;da 35 a 49 anni;0
2003;Malattie del sistema nervoso;da 50 a 59 anni;1
2003;Malattie del sistema nervoso;da 60 a 69 anni;4
2003;Malattie del sistema nervoso;da 70 a 74 anni;7
2003;Malattie del sistema nervoso;da 75 a 79 anni;12
2003;Malattie del sistema nervoso;da 80 a 84 anni;14
2003;Malattie del sistema osteomuscolare e del connettivo;85 anni e oltre;16
2003;Malattie del sistema osteomuscolare e del connettivo;da 0 a 19 anni;0
2003;Malattie del sistema osteomuscolare e del connettivo;da 20 a 34 anni;0
2003;Malattie del sistema osteomuscolare e del connettivo;da 35 a 49 anni;1
