Anno;Causa di morte;Classe eta;Numero decessi;miovalore;logic                                                                                                                                           
2002;Cirrosi epatica;da 35 a 49 anni;0;15;0                                                                                                                                                             
2002;Cirrosi epatica;da 50 a 59 anni;0;15;0                                                                                                                                                             
2002;Cirrosi epatica;da 60 a 69 anni;4;10;0                                                                                                                                                             
2002;Cirrosi epatica;da 70 a 74 anni;6;10;0                                                                                                                                                             
2002;Cirrosi epatica;da 75 a 79 anni;5;14;0                                                                                                                                                             
2002;Cirrosi epatica;da 80 a 84 anni;4;14;0                                                                                                                                                             
2002;Compl. della gravidanza, parto e puerperio;85 anni e oltre;0;14;0                                                                                                                                  
2002;Compl. della gravidanza, parto e puerperio;da 0 a 19 anni;0;10;0                                                                                                                                   
2002;Compl. della gravidanza, parto e puerperio;da 20 a 34 anni;0;10;0                                                                                                                                  
2002;Compl. della gravidanza, parto e puerperio;da 35 a 49 anni;0;10;0                                                                                                                                  
2002;Compl. della gravidanza, parto e puerperio;da 50 a 59 anni;0;14;0                                                                                                                                  
2002;Compl. della gravidanza, parto e puerperio;da 60 a 69 anni;0;14;0                                                                                                                                  
2002;Compl. della gravidanza, parto e puerperio;da 70 a 74 anni;0;14;0                                                                                                                                  
2002;Compl. della gravidanza, parto e puerperio;da 75 a 79 anni;0;10;0                                                                                                                                  
2002;Compl. della gravidanza, parto e puerperio;da 80 a 84 anni;0;10;0                                                                                                                                  
2002;Condizioni morbose di origine perinatale;85 anni e oltre;0;14;0                                                                                                                                    
2002;Condizioni morbose di origine perinatale;da 0 a 19 anni;1;14;0                                                                                                                                     
2002;Condizioni morbose di origine perinatale;da 20 a 34 anni;0;14;0                                                                                                                                    
2002;Condizioni morbose di origine perinatale;da 35 a 49 anni;0;10;0                                                                                                                                    
2002;Condizioni morbose di origine perinatale;da 50 a 59 anni;0;10;0                                                                                                                                    
2002;Condizioni morbose di origine perinatale;da 60 a 69 anni;0;10;0                                                                                                                                    
2002;Condizioni morbose di origine perinatale;da 70 a 74 anni;0;14;0                                                                                                                                    
2002;Condizioni morbose di origine perinatale;da 75 a 79 anni;0;14;0                                                                                                                                    
2002;Condizioni morbose di origine perinatale;da 80 a 84 anni;0;11;0                                                                                                                                    
2002;diabete;85 anni e oltre;29;11;0                                                                                                                                                                    
2002;diabete;da 0 a 19 anni;0;11;0                                                                                                                                                                      
2002;diabete;da 20 a 34 anni;0;13;0                                                                                                                                                                     
2002;diabete;da 35 a 49 anni;1;14;0                                                                                                                                                                     
2002;diabete;da 50 a 59 anni;1;14;0                                                                                                                                                                     
2002;diabete;da 60 a 69 anni;1;11;0                                                                                                                                                                     
2002;diabete;da 70 a 74 anni;3;11;0                                                                                                                                                                     
2002;diabete;da 75 a 79 anni;8;13;0                                                                                                                                                                     
2002;diabete;da 80 a 84 anni;16;13;0                                                                                                                                                                    
2002;Disturbi psichici;85 anni e oltre;71;13;0                                                                                                                                                          
2002;Disturbi psichici;da 0 a 19 anni;1;11;0                                                                                                                                                            
2002;Disturbi psichici;da 20 a 34 anni;0;11;0                                                                                                                                                           
2002;Disturbi psichici;da 35 a 49 anni;0;11;0                                                                                                                                                           
2002;Disturbi psichici;da 50 a 59 anni;3;13;0                                                                                                                                                           
2002;Disturbi psichici;da 60 a 69 anni;2;13;0                                                                                                                                                           
2002;Disturbi psichici;da 70 a 74 anni;1;11;0                                                                                                                                                           
2002;Disturbi psichici;da 75 a 79 anni;4;11;0                                                                                                                                                           
2002;Disturbi psichici;da 80 a 84 anni;14;11;0                                                                                                                                                          
2002;Incidenti stradali;85 anni e oltre;1;13;0                                                                                                                                                          
2002;Incidenti stradali;da 0 a 19 anni;0;13;0                                                                                                                                                           
2002;Incidenti stradali;da 20 a 34 anni;1;13;0                                                                                                                                                          
2002;Incidenti stradali;da 35 a 49 anni;3;12;0                                                                                                                                                          
2002;Incidenti stradali;da 50 a 59 anni;0;11;0                                                                                                                                                          
2002;Incidenti stradali;da 60 a 69 anni;0;11;0                                                                                                                                                          
2002;Incidenti stradali;da 70 a 74 anni;1;13;0                                                                                                                                                          
2002;Incidenti stradali;da 75 a 79 anni;0;13;0                                                                                                                                                          
2002;Incidenti stradali;da 80 a 84 anni;0;12;0                                                                                                                                                          
2002;Infarto del miocardio;85 anni e oltre;47;12;0                                                                                                                                                      
2002;Infarto del miocardio;da 0 a 19 anni;0;12;0                                                                                                                                                        
2002;Infarto del miocardio;da 20 a 34 anni;0;12;0                                                                                                                                                       
2002;Infarto del miocardio;da 35 a 49 anni;2;12;0                                                                                                                                                       
2002;Infarto del miocardio;da 50 a 59 anni;1;12;0                                                                                                                                                       
2002;Infarto del miocardio;da 60 a 69 anni;4;12;0                                                                                                                                                       
2002;Infarto del miocardio;da 70 a 74 anni;8;12;0                                                                                                                                                       
2002;Infarto del miocardio;da 75 a 79 anni;20;12;0                                                                                                                                                      
2002;Infarto del miocardio;da 80 a 84 anni;23;12;0                                                                                                                                                      
2002;Leucemie;85 anni e oltre;7;12;0                                                                                                                                                                    
2002;Leucemie;da 0 a 19 anni;0;12;0                                                                                                                                                                     
2002;Leucemie;da 20 a 34 anni;0;12;0                                                                                                                                                                    
2002;Leucemie;da 35 a 49 anni;0;12;0                                                                                                                                                                    
2002;Leucemie;da 50 a 59 anni;1;12;0                                                                                                                                                                    
2002;Leucemie;da 60 a 69 anni;2;12;0                                                                                                                                                                    
2002;Leucemie;da 70 a 74 anni;3;20;0                                                                                                                                                                    
2002;Leucemie;da 75 a 79 anni;2;16;0                                                                                                                                                                    
2002;Leucemie;da 80 a 84 anni;3;12;0                                                                                                                                                                    
2002;Malattie cerebrovascolari;85 anni e oltre;201;16;0                                                                                                                                                 
2002;Malattie cerebrovascolari;da 0 a 19 anni;0;20;0                                                                                                                                                    
2002;Malattie cerebrovascolari;da 20 a 34 anni;0;13;0                                                                                                                                                   
2002;Malattie cerebrovascolari;da 35 a 49 anni;3;18;0                                                                                                                                                   
2002;Malattie cerebrovascolari;da 50 a 59 anni;2;14;0                                                                                                                                                   
2002;Malattie cerebrovascolari;da 60 a 69 anni;8;10;0                                                                                                                                                   
2002;Malattie cerebrovascolari;da 70 a 74 anni;15;17;0                                                                                                                                                  
2002;Malattie cerebrovascolari;da 75 a 79 anni;27;10;0                                                                                                                                                  
2002;Malattie cerebrovascolari;da 80 a 84 anni;37;10;0                                                                                                                                                  
2002;Malattie del sangue e degli organi ematopeici;85 anni e oltre;8;17;0                                                                                                                               
2002;Malattie del sangue e degli organi ematopeici;da 0 a 19 anni;0;13;0                                                                                                                                
2002;Malattie del sangue e degli organi ematopeici;da 20 a 34 anni;0;15;0                                                                                                                               
2002;Malattie del sangue e degli organi ematopeici;da 35 a 49 anni;1;19;0                                                                                                                               
2002;Malattie del sangue e degli organi ematopeici;da 50 a 59 anni;0;12;0                                                                                                                               
2002;Malattie del sangue e degli organi ematopeici;da 60 a 69 anni;0;19;0                                                                                                                               
2002;Malattie del sangue e degli organi ematopeici;da 70 a 74 anni;2;15;0                                                                                                                               
2002;Malattie del sangue e degli organi ematopeici;da 75 a 79 anni;3;12;0                                                                                                                               
2002;Malattie del sangue e degli organi ematopeici;da 80 a 84 anni;4;16;0                                                                                                                               
2002;Malattie del sistema nervoso;85 anni e oltre;37;20;0                                                                                                                                               
2002;Malattie del sistema nervoso;da 0 a 19 anni;0;11;0                                                                                                                                                 
2002;Malattie del sistema nervoso;da 20 a 34 anni;0;18;0                                                                                                                                                
2002;Malattie del sistema nervoso;da 35 a 49 anni;0;14;0                                                                                                                                                
2002;Malattie del sistema nervoso;da 50 a 59 anni;3;14;0                                                                                                                                                
2002;Malattie del sistema nervoso;da 60 a 69 anni;2;18;0                                                                                                                                                
2002;Malattie del sistema nervoso;da 70 a 74 anni;6;13;0                                                                                                                                                
2002;Malattie del sistema nervoso;da 75 a 79 anni;14;20;0                                                                                                                                               
2002;Malattie del sistema nervoso;da 80 a 84 anni;21;16;0                                                                                                                                               
2002;Malattie del sistema osteomuscolare e del connettivo;85 anni e oltre;9;11;0                                                                                                                        
2002;Malattie del sistema osteomuscolare e del connettivo;da 0 a 19 anni;0;15;0                                                                                                                         
2002;Malattie del sistema osteomuscolare e del connettivo;da 20 a 34 anni;0;19;0                                                                                                                        
2002;Malattie del sistema osteomuscolare e del connettivo;da 35 a 49 anni;0;12;0                                                                                                                        
2002;Malattie del sistema osteomuscolare e del connettivo;da 50 a 59 anni;1;19;0                                                                                                                        
2002;Malattie del sistema osteomuscolare e del connettivo;da 60 a 69 anni;2;15;0                                                                                                                        
2002;Malattie del sistema osteomuscolare e del connettivo;da 70 a 74 anni;3;13;0                                                                                                                        
2002;Malattie del sistema osteomuscolare e del connettivo;da 75 a 79 anni;4;17;0                                                                                                                        
2002;Malattie del sistema osteomuscolare e del connettivo;da 80 a 84 anni;5;14;0                                                                                                                        
2002;Malattie della pelle e del sottocutaneo;85 anni e oltre;2;10;0                                                                                                                                     
2002;Malattie della pelle e del sottocutaneo;da 0 a 19 anni;0;17;0                                                                                                                                      
2002;Malattie della pelle e del sottocutaneo;da 20 a 34 anni;0;10;0                                                                                                                                     
2002;Malattie della pelle e del sottocutaneo;da 35 a 49 anni;0;14;0                                                                                                                                     
2002;Malattie della pelle e del sottocutaneo;da 50 a 59 anni;0;18;0                                                                                                                                     
2002;Malattie della pelle e del sottocutaneo;da 60 a 69 anni;0;13;0                                                                                                                                     
2002;Malattie della pelle e del sottocutaneo;da 70 a 74 anni;0;20;0                                                                                                                                     
2002;Malattie della pelle e del sottocutaneo;da 75 a 79 anni;1;19;0                                                                                                                                     
2002;Malattie della pelle e del sottocutaneo;da 80 a 84 anni;0;12;0                                                                                                                                     
2002;Malattie dell'apparato genitourinario;85 anni e oltre;17;16;0                                                                                                                                      
2002;Malattie dell'apparato genitourinario;da 0 a 19 anni;0;15;0                                                                                                                                        
2002;Malattie dell'apparato genitourinario;da 20 a 34 anni;0;11;0                                                                                                                                       
2002;Malattie dell'apparato genitourinario;da 35 a 49 anni;0;18;0                                                                                                                                       
2002;Malattie dell'apparato genitourinario;da 50 a 59 anni;0;20;0                                                                                                                                       
2002;Malattie dell'apparato genitourinario;da 60 a 69 anni;2;13;0                                                                                                                                       
2002;Malattie dell'apparato genitourinario;da 70 a 74 anni;2;18;0                                                                                                                                       
2002;Malattie dell'apparato genitourinario;da 75 a 79 anni;4;14;0                                                                                                                                       
2002;Malattie dell'apparato genitourinario;da 80 a 84 anni;8;10;0                                                                                                                                       
2002;Malattie infettive e parassitarie;85 anni e oltre;0;18;0                                                                                                                                           
2002;Malattie infettive e parassitarie;da 0 a 19 anni;0;11;0                                                                                                                                            
2002;Malattie infettive e parassitarie;da 20 a 34 anni;0;15;0                                                                                                                                           
2002;Malattie infettive e parassitarie;da 35 a 49 anni;0;16;0                                                                                                                                           
2002;Malattie infettive e parassitarie;da 50 a 59 anni;0;12;0                                                                                                                                           
2002;Malattie infettive e parassitarie;da 60 a 69 anni;0;15;0                                                                                                                                           
2002;Malattie infettive e parassitarie;da 70 a 74 anni;0;19;0                                                                                                                                           
2002;Malattie infettive e parassitarie;da 75 a 79 anni;0;12;0                                                                                                                                           
2002;Malattie infettive e parassitarie;da 80 a 84 anni;0;19;0                                                                                                                                           
2002;Malformazioni congenite;85 anni e oltre;0;15;0                                                                                                                                                     
2002;Malformazioni congenite;da 0 a 19 anni;2;11;0                                                                                                                                                      
2002;Malformazioni congenite;da 20 a 34 anni;1;17;0                                                                                                                                                     
2002;Malformazioni congenite;da 35 a 49 anni;0;10;0                                                                                                                                                     
2002;Malformazioni congenite;da 50 a 59 anni;0;14;0                                                                                                                                                     
2002;Malformazioni congenite;da 60 a 69 anni;0;17;0                                                                                                                                                     
2002;Malformazioni congenite;da 70 a 74 anni;0;14;0                                                                                                                                                     
2002;Malformazioni congenite;da 75 a 79 anni;0;14;0                                                                                                                                                     
2002;Malformazioni congenite;da 80 a 84 anni;1;18;0                                                                                                                                                     
2002;Non recuperata;85 anni e oltre;2;11;0                                                                                                                                                              
2002;Non recuperata;da 0 a 19 anni;0;20;0                                                                                                                                                               
2002;Non recuperata;da 20 a 34 anni;2;16;0                                                                                                                                                              
2002;Non recuperata;da 35 a 49 anni;0;12;0                                                                                                                                                              
2002;Non recuperata;da 50 a 59 anni;0;16;0                                                                                                                                                              
2002;Non recuperata;da 60 a 69 anni;1;20;0                                                                                                                                                              
2002;Non recuperata;da 70 a 74 anni;2;11;0                                                                                                                                                              
